词,类型,来源,来源活动,搜索量/曝光,点击,订单,销售额,花费,预估竞争度,推荐ASIN,建议匹配类型,建议动作,处理状态
acura tsx2004 hydraulic steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,4.0,1.0,1.0,212.99,0.06,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
03 is300 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4PSP16400-重点,4.0,1.0,1.0,211.99,0.63,待补ABA搜索量/排名,B0F9P2JFN9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 ford f1500 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP16300-B0FLY773XG,2.0,1.0,1.0,211.99,0.89,待补ABA搜索量/排名,B0FLY773XG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 ford f150 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP16300-B0FLY773XG,1.0,1.0,1.0,211.99,0.96,待补ABA搜索量/排名,B0FLY773XG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2004 ford f-150,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP16300-B0FLY773XG,2.0,1.0,1.0,211.99,0.92,待补ABA搜索量/排名,B0FLY773XG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
lexus is300 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP16400,4.0,1.0,1.0,211.99,0.72,待补ABA搜索量/排名,B0GQZ1RZM9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion2006 ford f150,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4PSP16300,3.0,1.0,1.0,210.76,0.72,待补ABA搜索量/排名,B0F43KHJC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack chevrolet express year 2006 6,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,1.0,1.0,209.99,0.45,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 ford explorer sport steering rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,7.0,3.0,1.0,209.99,1.44,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 22 1014,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,16.0,5.0,1.0,209.99,3.0,待补ABA搜索量/排名,B0F43KHJC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 tacoma 4.0 rack pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,2.0,1.0,1.0,209.99,1.05,待补ABA搜索量/排名,B0GGRBJL29,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2023 toyota tacoma rack pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,2.0,1.0,1.0,209.99,1.05,待补ABA搜索量/排名,B0GGRBJL29,词组,新建对应ASIN关键词投放，7天复核,待运营确认
26-2629 hydraulic power steering rack and pinion fit for toyota tacoma 2005-2021 l4 2.7l 4.0l automotive replacement rack and pinion assembly with outer tie rod ends 44250 04030 es808o5,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-T-品牌词根-BS,1.0,1.0,1.0,209.99,0.6,待补ABA搜索量/排名,B0GGRBJL29,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering toyota tacoma 2013 v6 4.0,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,2.0,1.0,1.0,209.99,1.05,待补ABA搜索量/排名,B0GGRBJL29,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 mercury grand marquis tack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,12.0,2.0,1.0,209.53,0.43,待补ABA搜索量/排名,B0DPCXH2PS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop power steering rack and pinion 22-249,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-OO4SGE34300,1.0,1.0,1.0,209.53,0.03,待补ABA搜索量/排名,B0H6XD418V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering chevy express 1500 year 2004,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,2.0,1.0,208.99,0.27,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 tundra rack and pinion boots,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP16000,6.0,1.0,1.0,208.37,0.71,待补ABA搜索量/排名,B0CBS97JLD,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 chevy colorado rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0DPCWP8WR-KX4SGE14900；SP-KW-转向器-王云-BD-KX4SGE14900-B0DPCWP8WR,16.0,2.0,1.0,207.99,1.47,待补ABA搜索量/排名,B0DPCWP8WR,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering bar,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-KC4SGE05100-重点,1.0,1.0,1.0,207.99,0.45,待补ABA搜索量/排名,B0DPZN1RR3,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop zipper power steering chevy 2006,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,1.0,1.0,207.99,0.4,待补ABA搜索量/排名,B0DWMT4JDS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2004 luxus is300,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4PSP16400-重点,1.0,1.0,1.0,207.99,0.45,待补ABA搜索量/排名,B0GR4MXRHY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 chevy colorado two-door rear wheel drive rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,4.0,1.0,1.0,205.99,0.48,待补ABA搜索量/排名,B0GTT2ZVN4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2012 mercedes benz gl550 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-Kw-Mix-转向器-王云-KC4SGE04800-重点,5.0,1.0,1.0,204.99,0.55,待补ABA搜索量/排名,B0H6WG6FBJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2000 mazda power steering rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,10.0,1.0,1.0,204.19,0.9,待补ABA搜索量/排名,B0H6WNKJCR,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2000 silverado rack and pinion boot,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,1.0,1.0,1.0,203.99,0.75,待补ABA搜索量/排名,B0F43KHJC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
edelmann 70005,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE24900-重点,1.0,1.0,1.0,203.96,0.46,待补ABA搜索量/排名,B0GR4GZB8Y,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 tacoma steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,4.0,1.0,1.0,203.05,0.75,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 tacoma 4x4 rack and pinion 4wd,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4PSP18200-B0DPQNQD9G,8.0,1.0,1.0,202.88,0.85,待补ABA搜索量/排名,B0DPQNQD9G,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack 4584569af,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KX4SGE10200-重点,2.0,2.0,1.0,201.33,0.51,待补ABA搜索量/排名,B0H6WNBRFQ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack pinion 2000 camaro,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE28200-重点,18.0,1.0,1.0,200.99,0.73,待补ABA搜索量/排名,B0DWMXKTLC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hummer h3 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,3.0,1.0,1.0,198.99,0.9,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
h3 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,7.0,1.0,1.0,198.99,0.53,待补ABA搜索量/排名,B0F43KHJC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 h3 hummer rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE17300,4.0,1.0,1.0,198.99,0.79,待补ABA搜索量/排名,B0F6LQYSQ6,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hummer h3 power steering,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE17300-重点,2.0,1.0,1.0,198.99,0.6,待补ABA搜索量/排名,B0F6LQYSQ6,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion steering assembly nissan maxima 2014,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE12700-重点,3.0,1.0,1.0,198.34,0.77,待补ABA搜索量/排名,B0F6LQG5DJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack and pinion assembly 8540 dodge journey 2018,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE24300-重点,1.0,1.0,1.0,197.99,0.64,待补ABA搜索量/排名,B0GR548JHZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion steering assembly,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE04700；SP-KW-Mix-转向器-王云-KC4SGE04700-重点,181.0,8.0,1.0,195.99,5.61,待补ABA搜索量/排名,B0DPCWSF3G,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2012 wrx rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,1.0,1.0,195.99,0.48,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2011 wrx steering rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,1.0,1.0,1.0,195.99,0.45,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
15 nissan titan steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,195.99,0.41,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack for 1999 ford ranger 3.6 l,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,195.99,0.52,待补ABA搜索量/排名,B0F672VQYZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2009 wrx rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0GQZCB8W1-KC4PSP17200,1.0,1.0,1.0,195.99,0.97,待补ABA搜索量/排名,B0GQZCB8W1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering gin honda odyssey 2008,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,8.0,2.0,1.0,194.99,0.75,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 honda odyssey rock and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE10900,1.0,1.0,1.0,194.99,0.6,待补ABA搜索量/排名,B0GQZDB9RJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2007 9 7x,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器26新品-王云-OO4SGE35700,4.0,1.0,1.0,193.68,0.3,待补ABA搜索量/排名,B0H2YZ9RNZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 gmc envoy rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,1.0,1.0,1.0,192.68,0.9,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 hyundai santa fe 2.7 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE14700-重点,9.0,1.0,1.0,192.07,0.72,待补ABA搜索量/排名,B0GR4CBQC6,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4PSP18200；SP-Auto-Mix-转向器-王云-KC4PSP18200-重点；SP-KW-BR-王云-转向器-B0DPCXJTLG-KC4PSP18200,105.0,3.0,1.0,190.99,1.92,待补ABA搜索量/排名,B0DPCXJTLG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rocket pinion 2006 tacoma 4x4,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,6.0,1.0,1.0,189.99,0.46,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
subaru steering rack detroit axle rack and pinion 2002 outback,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,1.0,1.0,1.0,189.99,0.48,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 subaru outback wagon rack and opinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE15800,2.0,1.0,1.0,189.99,0.45,待补ABA搜索量/排名,B0DPCX14JC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2003 subaru outback rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,1.0,1.0,189.99,0.48,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 subaru outback steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE15800-重点,15.0,2.0,1.0,189.99,1.13,待补ABA搜索量/排名,B0DSDMNPSC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
b0ggrbjl29,机会词（有出单未覆盖）,搜索词报告,SP-PT-转向器-王云-BD-KC4PSP18200-B0DPCXJTLG,2.0,1.0,1.0,189.99,0.35,待补ABA搜索量/排名,B0F671NLKP,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion mejorado toyota tacoma 2008,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18200,7.0,2.0,1.0,189.99,1.48,待补ABA搜索量/排名,B0F671NLKP,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2019 toyota tacoma rack and pinon,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4PSP18200-重点,1.0,1.0,1.0,189.99,0.36,待补ABA搜索量/排名,B0GQZ61J8N,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 honda odyssey rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-自己的定价,3.0,1.0,1.0,189.99,0.84,待补ABA搜索量/排名,B0HDYPGKFY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 f150 rack and pinion 2wd,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,1.0,1.0,1.0,189.07,0.48,待补ABA搜索量/排名,B0GTT2ZVN4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for a 2006 toyota tacoma 4 wheel drive,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,3.0,1.0,1.0,188.99,0.48,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 nissan quest rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-王云-转向器-KC4SGE01200-重点,9.0,3.0,1.0,188.99,2.31,待补ABA搜索量/排名,B0DSF696TB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion steering assembly 98 sienna,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,1.0,1.0,188.99,0.44,待补ABA搜索量/排名,B0FCY4HGCF,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack tacoma 2007,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18200,1.0,1.0,1.0,188.99,0.74,待补ABA搜索量/排名,B0GQZ61J8N,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1994 honda accord rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,10.0,1.0,1.0,187.99,0.48,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 town and country rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE10100,1.0,1.0,1.0,187.99,0.65,待补ABA搜索量/排名,B0GR4TYCKZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 toyota sienna steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE02500,31.0,3.0,1.0,187.99,3.03,待补ABA搜索量/排名,B0H6WL5BHM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion assembly compatible with toyota 4runner/fj cruiser & lexus gx470 2003-2009 4.0l,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,1.0,1.0,1.0,187.2,0.48,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1996 tacoma power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE27800-重点,22.0,2.0,1.0,186.99,1.14,待补ABA搜索量/排名,B0DWMV85N5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack pinion a premium 1996 tacoma 2wd kac,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-PT4SGE27800,1.0,1.0,1.0,186.99,0.6,待补ABA搜索量/排名,B0DWMV85N5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack pinion bushings for toyota tacoma 1997 2.4,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE27800,3.0,1.0,1.0,186.99,0.75,待补ABA搜索量/排名,B0DWMV85N5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
97 toyota pickup 2.4 l rack en piñón,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,1.0,1.0,1.0,186.99,0.4,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1996 2wd 2.4l tacoma base 5 lug rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,1.0,1.0,186.99,0.4,待补ABA搜索量/排名,B0FCY4HGCF,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 volkswagen golf gti rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器26新品-王云-OO4SGE38500,7.0,1.0,1.0,186.99,0.76,待补ABA搜索量/排名,B0GSD1T7VX,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 acura tsx rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4PSP16800-副编码重点,5.0,3.0,1.0,185.99,2.36,待补ABA搜索量/排名,B0F531Y2YC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pinion assembly,机会词（有出单未覆盖）,搜索词报告,SP--Mix-转向器-王云-KC4SGE03700-重点,2.0,1.0,1.0,185.64,0.45,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 crv rack and pinion filter,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KC4SGE04700-B0DPCWSF3G,1.0,1.0,1.0,184.99,0.68,待补ABA搜索量/排名,B0DPCWSF3G,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 buick rainier rack & pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4PSP18000-重点,7.0,2.0,1.0,184.99,1.56,待补ABA搜索量/排名,B0DWJZLMJ2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack and pinion 2004 trailblazer 4x4,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18000,5.0,1.0,1.0,184.99,0.88,待补ABA搜索量/排名,B0DWJZLMJ2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
"2007-2011 cr-v honda 2007-2011 cr-v replace 262749, 53601sxsa01, 53601sxsa03, 53010sxsa01",机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,2.0,1.0,1.0,184.99,0.6,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2004 chevy trailblazer,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18000,6.0,1.0,1.0,184.99,0.81,待补ABA搜索量/排名,B0GQZG719H,词组,新建对应ASIN关键词投放，7天复核,待运营确认
22185,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE28200-重点,1.0,1.0,1.0,184.49,0.45,待补ABA搜索量/排名,B0F6LJBFD3,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 mdx power steering,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,3.0,1.0,1.0,182.99,0.48,待补ABA搜索量/排名,B0DPCX66CY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for sale,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,2.0,1.0,182.99,0.88,待补ABA搜索量/排名,B0DPCXKRCL,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4PSP18200；SP-Auto-Mix-转向器-王云-KC4PSP18200-重点；SP-KW-BR-王云-转向器-B0DPQNQD9G-KC4PSP18200,1288.0,17.0,1.0,182.99,10.02,待补ABA搜索量/排名,B0DPQNQD9G,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 subaru tribeca touring racanpiño,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-PT4SGE22800,5.0,1.0,1.0,182.99,0.6,待补ABA搜索量/排名,B0GR3G98M1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
recampiño toyota camry 2002,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE11700,3.0,2.0,1.0,182.99,1.15,待补ABA搜索量/排名,B0GR4LX9TM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion nissan sentra 2005 1.8,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,8.0,3.0,1.0,181.99,1.02,待补ABA搜索量/排名,B0DPCY3SC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 chevy trailblazer rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18000；SP-KW-转向器-王云-BD-KC4PSP16900-B0DWJZLMJ2,24.0,3.0,1.0,181.69,2.37,待补ABA搜索量/排名,B0DWJZLMJ2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2014 toyota 4 runner,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE08300-重点,3.0,1.0,1.0,180.99,0.6,待补ABA搜索量/排名,B0F6LJCDCK,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 1995 honda accord ex,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,6.0,2.0,1.0,180.99,0.95,待补ABA搜索量/排名,B0GR4FCY4R,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 honda crv ex rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE04700,1.0,1.0,1.0,179.99,0.69,待补ABA搜索量/排名,B0DPCWSF3G,词组,新建对应ASIN关键词投放，7天复核,待运营确认
cremallera y piñón de dirección asistida compatible con honda cr-v 2007 2008 2009 2010 2011,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KX4SGE08800,9.0,1.0,1.0,179.99,0.6,待补ABA搜索量/排名,B0DSZPZY17,词组,新建对应ASIN关键词投放，7天复核,待运营确认
kax 262625 conjunto de piñon cremallera de dirección asistida hidráulica para toyota 4runner 1996 -2002,机会词（有出单未覆盖）,搜索词报告,SP-KW-EX-LXX-steering-B0GGRPCTLZ-OE-BS,1.0,1.0,1.0,179.99,0.45,待补ABA搜索量/排名,B0GGRPCTLZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack for jeep compass 2016,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE09100-重点,10.0,3.0,1.0,178.99,2.37,待补ABA搜索量/排名,B0GR4QMHGJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4PSP16400-重点,11.0,1.0,1.0,178.99,0.69,待补ABA搜索量/排名,B0GR4QTT46,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 toyota sienna steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,3.0,1.0,1.0,177.99,0.94,待补ABA搜索量/排名,B0DPCWYHXB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 toyota sienna rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE02500,1.0,1.0,1.0,177.99,1.13,待补ABA搜索量/排名,B0DPCWYNV6,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota sienna rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,2.0,1.0,1.0,177.99,0.3,待补ABA搜索量/排名,B0DPCWYNV6,词组,新建对应ASIN关键词投放，7天复核,待运营确认
honda pilot 2004 cremallera y piñón,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4SGE04100,3.0,1.0,1.0,177.99,0.45,待补ABA搜索量/排名,B0DPCXH2PS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
