待否词,广告活动,活动ID,ASIN,原判定类型,原应用层级,适配状态,可否决,原因,处理动作,确认状态
2014 toyota tacoma rack and pinion,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,123355151989281,B0GGRBJL29,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2014 toyota tacoma trd rack and pinion 1 ea crdn,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,123355151989281,B0GGRBJL29,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2016-23 toyota tacoma power steering rack and pinion,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,123355151989281,B0GGRBJL29,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion mejorado toyota tacoma 2008,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,123355151989281,B0GGRBJL29,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion steering assembly toyota tacoma 2011,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,123355151989281,B0GGRBJL29,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion toyota tacoma 2014,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,123355151989281,B0GGRBJL29,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
a 2013 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE36600,138796703668965,B0GTTL469N,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2007 toyota rav4 rack and pinion,SP-KW-BR-LXX-steering-B0GGRP12H1-年份车型-BS,146249750997649,B0GGRP12H1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 toyota rav4 steering rack,SP-KW-BR-LXX-steering-B0GGRP12H1-年份车型-BS,146249750997649,B0GGRP12H1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion toyota highlander 2006,SP-KW-BR-LXX-steering-B0GGRP12H1-年份车型-BS,146249750997649,B0GGRP12H1,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion toyota rav4 2013,SP-KW-BR-LXX-steering-B0GGRP12H1-年份车型-BS,146249750997649,B0GGRP12H1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
toyota rav4 2009 steering rack:,SP-KW-BR-LXX-steering-B0GGRP12H1-年份车型-BS,146249750997649,B0GGRP12H1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2012 hyundai accent steering rack,SP-KW-BR-王云-转向器-B0F673LWGL-PT4SGE19900,147564474553098,B0F673LWGL,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2013 hyundai elantra rack and pinion,SP-KW-BR-王云-转向器-B0F673LWGL-PT4SGE19900,147564474553098,B0F673LWGL,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion kia rio 2014,SP-KW-BR-王云-转向器-B0F673LWGL-PT4SGE19900,147564474553098,B0F673LWGL,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2000 toyota tacoma rack and pinion,SP-KW-BR-王云-转向器-B0DPZS94X1-KX4SGE14500,150279347644092,B0DPZS94X1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion volkswagen beetle 2000,SP-KW-MIXS-王云-转向器-OO4SGE38500,156160119395826,B0GTTG7ZVC,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2004 toyota 4runner rack and pinion,SP-KW-BR-王云-转向器-B0DPCXMRG4-KC4SGE03700,171762181066933,B0DPCXMRG4,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2005 lexus sc430 rack and pinion,SP-KW-BR-王云-转向器-B0DPCXMRG4-KC4SGE03700,171762181066933,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2006 lexus rx400h steering rack and pinion,SP-KW-BR-王云-转向器-B0DPCXMRG4-KC4SGE03700,171762181066933,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
"power steering rack and pinion assembly toyota 4runner 2007, sport edition",SP-KW-BR-王云-转向器-B0DPCXMRG4-KC4SGE03700,171762181066933,B0DPCXMRG4,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion toyota highlander 2006,SP-KW-BR-王云-转向器-B0DPCXMRG4-KC4SGE03700,171762181066933,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1995 toyota celica rack and pinion,SP-AUTO-MIX-LXX-Steering-B0GGRGLMRS-BS,182111083032286,B0GGRGLMRS,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2000 buick century rack and pinion with magnsteer,SP-KW-MIXS-王云-转向器-OO4SGE34100,188917118027942,B0GSCYCMBG,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2002 buick century with magnasteer power steering rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE34100,188917118027942,B0GSCYCMBG,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion hyundai elantra 2012,SP-KW-转向器-王云-PT4SGE19800-B0F18R2YW4,189999489097630,B0F18R2YW4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2010 honda accord rack and pinion,SP-KW-BR-LXX-steering-B0GGRTVYBN-年份车型-BS,190261231232507,B0GGRTVYBN,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2012 honda accord rack and pinion,SP-KW-BR-LXX-steering-B0GGRTVYBN-年份车型-BS,190261231232507,B0GGRTVYBN,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 gmc sierra 1500 power steering rack,SP-KW-BR-LXX-Steering-B0GGRX6PKD-年份车型1-BS,192917277839475,B0GGRX6PKD,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2006 buick lucerne 3.8l rack and pinion,SP-KW-BR-王云-转向器-B0GQZCB8W1-KC4PSP17200,203943778819822,B0GQZCB8W1,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2012 subaru impreza rack and pinion,SP-KW-BR-王云-转向器-B0GQZCB8W1-KC4PSP17200,203943778819822,B0GQZCB8W1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion subaru legacy 2007,SP-KW-BR-王云-转向器-B0GQZCB8W1-KC4PSP17200,203943778819822,B0GQZCB8W1,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
subaru impreza 2010 rack and pinion,SP-KW-BR-王云-转向器-B0GQZCB8W1-KC4PSP17200,203943778819822,B0GQZCB8W1,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2011 honda pilot rack and pinion,SP-KW-BR-王云-转向器-B0DWK1388B-KX4SGE09200,225614269067288,B0DWK1388B,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2004 gmc envoy rack and pinion,SP-KW-BR-LXX-STEERING-B0GGRMCDM2-年份车型-BS,228515548038331,B0GGRMCDM2,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2004 lexus rx 330 power steering rack,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2004 lexus rx330 rack and pinion,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2005 lexus rx330 rack and pinion left hand drive,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2007 toyota highlander rack and pinion,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 toyota highlander rack and pinion,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 toyota highlander rack and pinion eps,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2009 lexus rx 350 rack and pinion,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2009 toyota sienna rack and pinion,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2013 toyota tacoma rack and pinion,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack toyota highlander 2005,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion toyota highlander 2006,SP-KW-BR-王云-转向器-B0DPCWYHXB-KC4PSP17700,242884828741717,B0DPCWYHXB,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2005 bmw 330i rack and pinion,SP-KW-BR-王云-转向器-B0DPQLYGNY-KC4PSP17600,246704904027352,B0DPQLYGNY,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
bmw 2004 330ci power steering rack,SP-KW-BR-王云-转向器-B0DPQLYGNY-KC4PSP17600,246704904027352,B0DPQLYGNY,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion dodge avenger lux 2011,SP-KW-BR-王云-转向器-B0DWMTWWMP-PT4SGE20100-02,249321799595783,B0DWMTWWMP,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2009 honda odyssey rack and pinion,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2010 honda stream rack and pinion genuine,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2011 honda odyssey rack and pinion,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2012 honda odyssey rack and pinion,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2016 honda odyssey se rack and pinion,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
honda civic 2013 hydraulic power steering rack and pinion,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
honda odyssey 2016 steering rack,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
hydraulic steering rack for honda odyssey 2012,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion for honda odyssey 2012,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,254891395175079,B0GGRLVFL2,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 pontiac g6 rack and pinion,SP-Auto-Mix-转向器26新品-王云-OO4SGE38600,258194284646081,B0GTTK8CX2,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
toyota 4runner 2004 sr5 rack and pinion,SP-KW-BR-LXX-steering-B0GGRMHY37-车型1-BS,260675737301872,B0GGRMHY37,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
1990 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1999 toyota sienna rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2000 chevrolet cavalier steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2000 subaru legacy hydraulic steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2003 cartier l lincoln town car rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2003 chevrolet venture rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2003 ford mustang gt rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2004 ford focus rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2004 lexus rx 330 power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2005 nissan armada rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2006 bmw 330i steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2007 honda crv rack and pinion electronic,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2007 toyota tundra 2wd rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2008 ford f150 xlt power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2008 honda accord rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2009 nissan maxima rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2009 toyota venza rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2010 ford flex rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2010 nissan altima rack and pinion v6,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2011 jeep grand cherokee steering rack boot,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2013 hyundai genesis coupe 2.0 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2013 hyundai santa fe sport rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2014 ram 1500 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2017 subaru legacy rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2025 nissan sentra rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
26-2747 53601shja86 hydraulic power steering rack & pinion assembly fit for honda odyssey 2007-2010 parod,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
bmw remanufactured steering rack 328i,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
bmw z3 2000 non-m steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
chevrolet cavalier 1990 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
for subaru wrx sti 2015 2016 2017 hydraulic power steering rack & pinion gap $361.25 $425.00 • fits your 2015 subaru wrx sti,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
ford explorer 2011 power steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
ford mustang 2000 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
ford pinto 2000 steering rack,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
honda talon rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack toyota siena dorman,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hyundai entourage 2007 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hyundai steering rack 2020,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
jeep cherokee steering racks and pin,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
power steering rack and pinion assembly compatible for 2007-2011 honda cr-v japan built,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion 2007-2012 nissan versa,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion for 2008 ford explorer,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for a 2007 dodge ram 15102 wheel dr.,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion honda pilot lx,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion with servotronics2007 audi a4,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack and pinion for a 2016 dodge charger.,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DPCXMRG4,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
1998 honda crv rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2001ford ranger 4.0 rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2002 toyota 4 runner rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2002 toyota celica rack and pinion,SP-KW-MIXS-王云-转向器-手动,268206496571761,B0DWMVSV8M,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
